,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,121889,132543,119842,119030,121198,126635,138282,125470,124418,116969
Alaska,42065,39825,38022,41441,41932,39184,37859,36902,37228,38326
Arizona,261793,266439,272444,280857,298594,300597,327006,307049,313985,299909
Arkansas,87501,79055,86287,79998,83847,90630,80134,88369,81893,67848
California,704389,738200,748252,776925,831989,851144,851372,841883,789634,746689
Colorado,220738,237168,240666,240849,252246,260932,256149,261371,277465,269523
Connecticut,97500,92288,105461,109643,112929,105138,102002,107905,115643,119162
Delaware,35171,38617,38357,41384,36619,49103,39147,42546,37263,42248
District of Columbia ,58305,55430,62588,57660,67666,70794,69309,66572,56994,68865
Florida,634062,667525,701715,703579,742306,797190,837856,815642,808789,805016
Georgia,293280,315002,328861,334509,325592,339829,374381,336148,326136,335035
Hawaii,71387,74131,75880,73768,70264,71493,74660,63727,67466,64279
Idaho,61839,66673,65910,69943,70324,82817,80085,78528,86489,85211
Illinois,265749,288021,274607,292570,277693,276647,269599,266511,274165,248389
Indiana,150761,149314,158749,157271,164909,169969,172569,165940,177403,178176
Iowa,84193,83851,86552,88176,93573,96683,91186,89309,85172,86775
Kansas,107332,98769,105114,104935,111629,109248,106207,97637,110342,107618
Kentucky,138493,124324,130643,121170,118900,122887,132698,119458,122991,111947
Louisiana,109848,114820,105485,108099,111361,108437,101341,85612,94393,84878
Maine,30387,38367,31804,41157,44630,33779,43180,38269,38030,40993
Maryland,210269,196740,198042,207062,203731,218426,202765,213772,209650,185851
Massachusetts,198976,199848,202095,194794,217653,197383,222403,223952,210359,207968
Michigan,160128,182890,179885,193105,198127,187456,210727,197235,184142,170352
Minnesota,115680,125691,125913,132030,136684,140114,141513,138882,126130,132305
Mississippi,80233,76051,78512,75405,82126,76775,70491,80027,75582,68567
Missouri,165211,173810,185361,178707,173280,181858,184705,189434,170930,174929
Montana,39046,36612,39592,45332,40519,45585,41320,39428,46510,45059
Nebraska,58554,58666,51122,54405,61380,62408,61743,63696,63934,54152
Nevada,119693,123351,138714,143155,143797,153816,132376,150226,141734,153335
New Hampshire,44293,42313,56709,51195,46923,61197,59430,59286,54402,56969
New Jersey,183981,200911,187709,194872,192494,209934,213960,231345,222275,213427
New Mexico,82936,73662,65011,70212,77680,64634,75406,67843,70613,67505
New York,416171,437320,426902,419011,416975,410251,426792,430738,388131,389168
North Carolina,319982,308664,323580,327373,332519,357086,381171,369896,372255,367325
North Dakota,33712,35418,41566,42183,42282,46416,34370,43188,37414,40638
Ohio,206473,228869,238430,232412,238694,253309,243877,244517,235489,249119
Oklahoma,121943,125159,123597,124783,128440,129243,116984,116892,121147,115375
Oregon,137271,151261,138342,161931,160360,163483,166466,175517,160006,149720
Pennsylvania,285334,286845,270594,285178,300388,293867,320861,309311,315785,318887
Puerto Rico,36721,27330,23767,29099,22600,30189,24675,23153,24086,37226
Rhode Island,42354,34547,39811,41764,39986,46002,40392,42899,41336,39510
South Carolina,168559,177809,174910,183234,191606,190330,184419,186379,208838,199065
South Dakota,27818,31084,30049,32331,31228,29820,35823,33205,30124,31566
Tennessee,181855,195932,198368,210753,209797,219772,194316,217170,237933,217133
Texas,658575,693989,701474,733402,755964,775221,766745,746912,765504,776746
Utah,95018,99682,107441,116060,111815,121052,131918,124729,122920,111391
Vermont,25356,23331,26745,25570,24133,25566,23375,25111,28686,23032
Virginia,307972,317181,312717,326679,337088,347806,342489,324473,334098,334442
Washington,249413,263480,262869,260482,287382,293116,319070,324272,323252,295969
West Virginia,42242,55242,50084,54915,51564,45715,50938,43098,45378,44930
Wisconsin,107559,125040,116995,119764,136117,126259,138757,135626,132106,124609
Wyoming,30085,31933,33184,29517,27441,38791,28576,20914,28349,31629
